post_code,post_name,post_url,product_name,size,image_name
C21-2,엘지 쏘피 바디피트 네이처 울트라슬림 날개형 대형 에이 19개+19개 생활용품 > 화장지/생리대 생리대/성인기저귀 패드형 생리대 일자형생리대,https://www.coupang.com/vp/products/121202136?itemId=360543112&vendorItemId=3877381507&q=%EC%8F%98%ED%94%BC%EB%B0%94%EB%94%94%ED%94%BC%ED%8A%B8%EA%B7%80%EC%95%A0%EB%9E%91%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%8A%AC%EB%A6%BC%EB%82%A0%EA%B0%9C%ED%98%95%EC%98%A4%EB%B2%84%EB%82%98%EC%9D%B4%ED%8A%B8%EC%97%90%EC%9D%B4&itemsCount=7&searchId=8c45505ee6eb43ca807abe5a4a7be4a9&rank=2&isAddedCart=,,,C21-2.jpg
C21-3,엘지 쏘피 바디피트 볼록맞춤 울트라슬림 날개형 오버나이트 에이 12개입 생활용품 > 화장지/생리대 생리대/성인기저귀 패드형 생리대 일자형생리대,https://www.coupang.com/vp/products/121202148?itemId=360543136&vendorItemId=3877381579&q=%EC%8F%98%ED%94%BC%EB%B0%94%EB%94%94%ED%94%BC%ED%8A%B8%EA%B7%80%EC%95%A0%EB%9E%91%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%8A%AC%EB%A6%BC%EB%82%A0%EA%B0%9C%ED%98%95%EC%98%A4%EB%B2%84%EB%82%98%EC%9D%B4%ED%8A%B8%EC%97%90%EC%9D%B4&itemsCount=7&searchId=8c45505ee6eb43ca807abe5a4a7be4a9&rank=3&isAddedCart=,,,C21-3.jpg
C23-1,쏘피 유기농 100% 순면커버 대형 생리대 날개형,https://www.coupang.com/vp/products/2916150?itemId=513877186&vendorItemId=4824445538&isAddedCart=,,,C23-1.jpg
C23-3,쏘피 바디피트 볼록맞춤 중형 생리대 날개형 48p + 대형 12p,https://www.coupang.com/vp/products/128884877?itemId=379699356&vendorItemId=4909305508&isAddedCart=,,,C23-3.jpg
C24-1,바디피트 귀애랑 팬티라이너 일반,https://www.coupang.com/vp/products/2917519?itemId=6321874&vendorItemId=4916647467&q=%EC%8F%98%ED%94%BC%EB%B0%94%EB%94%94%ED%94%BC%ED%8A%B8%EB%B3%BC%EB%A1%9D%EB%A7%9E%EC%B6%A4%EC%86%8C%ED%98%95&itemsCount=36&searchId=1bee8c76a76b4284ac3187ebcb502a1b&rank=1&isAddedCart=,,,C24-1.jpg
C24-2,쏘피 바디피트 볼록맞춤 소형 생리대 날개형,https://www.coupang.com/vp/products/106784?itemId=6461996&vendorItemId=3030641361&q=%EC%8F%98%ED%94%BC%EB%B0%94%EB%94%94%ED%94%BC%ED%8A%B8%EB%B3%BC%EB%A1%9D%EB%A7%9E%EC%B6%A4%EC%86%8C%ED%98%95&itemsCount=36&searchId=1bee8c76a76b4284ac3187ebcb502a1b&rank=2&isAddedCart=,,,C24-2.jpg
C24-3,쏘피 바디피트 귀애랑 생리대 날개형 소형 18p x 3팩 + 중형 2p 4팩,https://www.coupang.com/vp/products/11225593?itemId=48510385&vendorItemId=4741711244&q=%EC%8F%98%ED%94%BC%EB%B0%94%EB%94%94%ED%94%BC%ED%8A%B8%EB%B3%BC%EB%A1%9D%EB%A7%9E%EC%B6%A4%EC%86%8C%ED%98%95&itemsCount=36&searchId=1bee8c76a76b4284ac3187ebcb502a1b&rank=3&isAddedCart=,,,C24-3.jpg
C25-1,쏘피 바디피트 생리대 볼록맞춤 안심숙면 슈퍼롱 20p x 1팩,https://www.coupang.com/vp/products/1103560842?itemId=2064334133&vendorItemId=70750123674&q=%EC%8F%98%ED%94%BC%EB%B0%94%EB%94%94%ED%94%BC%ED%8A%B8%EB%B3%BC%EB%A1%9D%EB%A7%9E%EC%B6%A4%EC%8A%88%ED%8D%BC%EB%A1%B1&itemsCount=36&searchId=57e4fea4425e436dab6dc75bf6d53d96&rank=1&isAddedCart=,,,C25-1.jpg
C25-3,바디피트 볼록맞춤 중형16p x 2팩 + 대형16p 볼록맞춤오버12p 날개형 생리대,https://www.coupang.com/vp/products/99909471?itemId=305460856&vendorItemId=3753188101&q=%EC%8F%98%ED%94%BC%EB%B0%94%EB%94%94%ED%94%BC%ED%8A%B8%EB%B3%BC%EB%A1%9D%EB%A7%9E%EC%B6%A4%EC%8A%88%ED%8D%BC%EB%A1%B1&itemsCount=36&searchId=57e4fea4425e436dab6dc75bf6d53d96&rank=3&isAddedCart=,,,C25-3.jpg
C26-2,바디피트 순간흡수 오버나이트 생리대,https://www.coupang.com/vp/products/2301939?itemId=5702370&vendorItemId=3027237673&q=%EC%8F%98%ED%94%BC%EB%B0%94%EB%94%94%ED%94%BC%ED%8A%B8%EB%B3%BC%EB%A1%9D%EB%A7%9E%EC%B6%A4%EC%98%A4%EB%B2%84%EB%82%98%EC%9D%B4%ED%8A%B8&itemsCount=36&searchId=4065b3f6c56641bdb078baddab53ac30&rank=2&isAddedCart=,,,C26-2.jpg
